states: rlevel[$t1],states: rlevel[$t2],states: rlevel[$t3]
51.79148693351211,84.14916981199309,68.75052076823305
52.71825297608513,93.34545982530392,86.34026153904288
52.49266231406946,102.25763411732778,102.92896135273261
54.85755212752983,108.29643225857986,117.64112424829851
52.56050488240799,115.39189939493517,133.49659972142624
54.59461764049324,110.44889478492533,154.49771588278077
55.62092917655992,110.37144229866885,168.72599715858584
54.63134512824871,111.93041033586495,180.38717652476157
53.40528630477723,112.00862827232945,192.52180265895578
53.05563882200433,110.56855449730529,201.9512805942377
